node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	PYL8	3702.P49597	3702.Q9FGM1	0	0	0	0	0	0.793	0.650	0.846	0.987
ABI1	PYL9	3702.P49597	3702.Q84MC7	0	0	0	0	0	0.721	0.650	0.960	0.995
ABI2	PYL8	3702.O04719	3702.Q9FGM1	0	0	0	0	0	0.640	0.650	0.878	0.983
ABI2	PYL9	3702.O04719	3702.Q84MC7	0	0	0	0	0	0.696	0.650	0.939	0.992
ARF7	MYB77	3702.P93022	3702.Q9SN12	0	0	0	0	0	0.292	0	0.991	0.993
ARF7	IAA14	3702.P93022	3702.Q38832	0	0	0	0	0	0.707	0.691	0.971	0.997
AS1	AS2	3702.O80931	3702.O04479	0	0	0	0	0	0.778	0	0.998	0.999
Atmyb2	MYC2	3702.Q39028	3702.Q39204	0	0	0	0	0.042	0.225	0	0.884	0.906
BHLH2	CPC	3702.Q9CAD0	3702.O22059	0	0	0	0	0	0.969	0	0.719	0.990
BHLH2	GL1	3702.Q9CAD0	3702.P27900	0	0	0	0	0.065	0.450	0	0.912	0.950
BHLH2	MYB5	3702.Q9CAD0	3702.Q38850	0	0	0	0	0	0.230	0	0.941	0.952
BHLH2	MYB23	3702.Q9CAD0	3702.Q96276	0	0	0	0	0	0.230	0	0.974	0.979
BHLH2	MYBL2	3702.Q9CAD0	3702.Q9C9A5	0	0	0	0	0	0.474	0	0.932	0.962
BHLH2	TT2	3702.Q9CAD0	3702.Q9FJA2	0	0	0	0	0	0.230	0	0.964	0.971
BHLH2	GL3	3702.Q9CAD0	3702.Q9FN69	0	0	0.052	0.976	0.062	0.681	0	0.957	0.986
BHLH2	MYB90	3702.Q9CAD0	3702.Q9ZTC3	0	0	0	0	0	0.622	0	0.971	0.988
BHLH2	MYB113	3702.Q9CAD0	3702.Q9FNV9	0	0	0	0	0	0.230	0	0.996	0.997
BHLH2	MYB75	3702.Q9CAD0	3702.Q9FE25	0	0	0	0	0	0.474	0	0.997	0.998
BHLH2	MYB114	3702.Q9CAD0	3702.Q9FNV8	0	0	0	0	0	0.230	0	0.998	0.998
BHLH2	TTG1	3702.Q9CAD0	3702.Q9XGN1	0	0	0	0	0	0.450	0	0.999	0.999
BHLH2	WER	3702.Q9CAD0	3702.Q9SEI0	0	0	0	0	0.122	0.969	0	0.998	0.999
COI1	MYC4	3702.O04197	3702.O49687	0	0	0	0	0.095	0	0	0.903	0.909
COI1	MYC3	3702.O04197	3702.Q9FIP9	0	0	0	0	0.104	0.225	0	0.908	0.930
COI1	MYC2	3702.O04197	3702.Q39204	0	0	0	0	0	0	0	0.938	0.938
COI1	TIFY3A	3702.O04197	3702.Q9M246	0	0	0	0	0.044	0.071	0.900	0.816	0.981
COI1	TIFY11A	3702.O04197	3702.Q9LDU5	0	0	0	0	0	0.078	0.900	0.841	0.984
COI1	TIFY3B	3702.O04197	3702.Q9C5K8	0	0	0	0	0	0.314	0.900	0.817	0.986
COI1	TIFY11B	3702.O04197	3702.Q9C9E3	0	0	0	0	0	0.078	0.900	0.891	0.989
COI1	TIFY10B	3702.O04197	3702.Q9S7M2	0	0	0	0	0	0.494	0.900	0.853	0.991
COI1	TIFY9	3702.O04197	3702.Q93ZM9	0	0	0	0	0	0.292	0.900	0.937	0.995
COI1	TIFY6B	3702.O04197	3702.Q9LVI4	0	0	0	0	0.045	0.722	0.900	0.931	0.997
COI1	TIFY7	3702.O04197	3702.Q8W4J8	0	0	0	0	0	0.801	0.900	0.931	0.998
COI1	TIFY10A	3702.O04197	3702.Q9LMA8	0	0	0	0	0	0.982	0.900	0.998	0.999
CPC	GL3	3702.O22059	3702.Q9FN69	0	0	0	0	0	0.781	0	0.785	0.950
CYP83A1	MYB29	3702.P48421	3702.Q9FLR1	0	0	0	0	0.268	0	0	0.899	0.922
CYP83A1	MYB28	3702.P48421	3702.Q9SPG2	0	0	0	0	0.447	0	0	0.926	0.957
DYT1	MYB80	3702.O81900	3702.Q9XHV0	0	0	0	0	0	0	0	0.927	0.927
DYT1	MYB35	3702.O81900	3702.Q9LSI7	0	0	0	0	0.171	0	0	0.961	0.966
EIN3	TIFY10A	3702.O24606	3702.Q9LMA8	0	0	0	0	0.046	0.292	0	0.865	0.900
EIN3	MYC2	3702.O24606	3702.Q39204	0	0	0	0	0	0.322	0	0.989	0.992
GL1	TTG1	3702.P27900	3702.Q9XGN1	0	0	0	0	0.053	0.225	0	0.918	0.934
GL1	GL3	3702.P27900	3702.Q9FN69	0	0	0	0	0	0.829	0	0.922	0.986
GL3	MYB23	3702.Q9FN69	3702.Q96276	0	0	0	0	0	0.230	0	0.992	0.993
GL3	MYBL2	3702.Q9FN69	3702.Q9C9A5	0	0	0	0	0	0.292	0	0.965	0.974
GL3	MYB75	3702.Q9FN69	3702.Q9FE25	0	0	0	0	0	0.474	0	0.995	0.997
GL3	TT2	3702.Q9FN69	3702.Q9FJA2	0	0	0	0	0	0	0	0.984	0.984
GL3	TT8	3702.Q9FN69	3702.Q9FT81	0	0	0.107	0.817	0	0	0	0.897	0.904
GL3	MYB82	3702.Q9FN69	3702.Q9LTF7	0	0	0	0	0	0.230	0	0.902	0.921
GL3	MYB90	3702.Q9FN69	3702.Q9ZTC3	0	0	0	0	0	0.622	0	0.971	0.988
GL3	MYB113	3702.Q9FN69	3702.Q9FNV9	0	0	0	0	0	0	0	0.997	0.997
GL3	MYB114	3702.Q9FN69	3702.Q9FNV8	0	0	0	0	0	0	0	0.998	0.998
GL3	WER	3702.Q9FN69	3702.Q9SEI0	0	0	0	0	0.056	0.719	0	0.998	0.999
GL3	TTG1	3702.Q9FN69	3702.Q9XGN1	0	0	0	0	0	0.829	0	0.999	0.999
HAB1	PYL9	3702.Q9CAJ0	3702.Q84MC7	0	0	0	0	0	0.786	0.650	0.931	0.994
HAB1	PYL8	3702.Q9CAJ0	3702.Q9FGM1	0	0	0	0	0	0.886	0.650	0.820	0.992
HFR1	LAF1	3702.Q9FE22	3702.Q9M0K4	0	0	0	0	0	0.292	0	0.954	0.966
HOS1	SCRM	3702.Q84JU6	3702.Q9LSE2	0	0	0	0	0	0.783	0	0.973	0.993
KNAT7	OFP4	3702.Q9FPQ8	3702.F4HNU8	0	0	0	0	0	0.450	0	0.998	0.998
KNAT7	MYB63	3702.Q9FPQ8	3702.Q6R0A6	0	0	0	0	0.158	0	0	0.890	0.903
KNAT7	MYB75	3702.Q9FPQ8	3702.Q9FE25	0	0	0	0	0	0.450	0	0.995	0.997
KNAT7	MYB46	3702.Q9FPQ8	3702.Q9LXV2	0	0	0	0	0.093	0	0	0.898	0.903
MED25	MYC4	3702.Q7XYY2	3702.O49687	0	0	0	0	0	0.292	0	0.867	0.901
MED25	MYC2	3702.Q7XYY2	3702.Q39204	0	0	0	0	0	0.474	0	0.983	0.990
MED25	MYC3	3702.Q7XYY2	3702.Q9FIP9	0	0	0	0	0	0.541	0	0.955	0.978
MUTE	SCRM	3702.Q9M8K6	3702.Q9LSE2	0	0	0	0	0.072	0.230	0	0.999	0.999
MYB113	TTG1	3702.Q9FNV9	3702.Q9XGN1	0	0	0	0	0.053	0	0	0.997	0.997
MYB113	TT8	3702.Q9FNV9	3702.Q9FT81	0	0	0	0	0.081	0.230	0	0.998	0.998
MYB114	TTG1	3702.Q9FNV8	3702.Q9XGN1	0	0	0	0	0.053	0	0	0.997	0.997
MYB114	TT8	3702.Q9FNV8	3702.Q9FT81	0	0	0	0	0.161	0.369	0	0.998	0.998
MYB15	SCRM	3702.Q9LTC4	3702.Q9LSE2	0	0	0	0	0	0.292	0	0.971	0.978
MYB21	MYC4	3702.Q9LK95	3702.O49687	0	0	0	0	0	0.322	0	0.971	0.979
MYB21	MYC2	3702.Q9LK95	3702.Q39204	0	0	0	0	0.051	0.322	0	0.985	0.989
MYB21	TIFY5A	3702.Q9LK95	3702.Q8LBM2	0	0	0	0	0.142	0.230	0	0.953	0.966
MYB21	MYC3	3702.Q9LK95	3702.Q9FIP9	0	0	0	0	0	0.322	0	0.968	0.977
MYB21	TIFY10A	3702.Q9LK95	3702.Q9LMA8	0	0	0	0	0.071	0.230	0	0.937	0.950
MYB21	TIFY3A	3702.Q9LK95	3702.Q9M246	0	0	0	0	0	0.230	0	0.964	0.971
MYB23	TTG1	3702.Q96276	3702.Q9XGN1	0	0	0	0	0.053	0	0	0.933	0.933
MYB24	MYC4	3702.Q9SPG9	3702.O49687	0	0	0	0	0	0.322	0	0.985	0.989
MYB24	MYC2	3702.Q9SPG9	3702.Q39204	0	0	0	0	0	0.322	0	0.976	0.983
MYB24	TIFY5A	3702.Q9SPG9	3702.Q8LBM2	0	0	0	0	0.099	0.230	0	0.965	0.973
MYB24	MYC3	3702.Q9SPG9	3702.Q9FIP9	0	0	0	0	0	0.322	0	0.983	0.987
MYB24	TIFY10A	3702.Q9SPG9	3702.Q9LMA8	0	0	0	0	0.051	0.230	0	0.952	0.961
MYB24	TIFY3A	3702.Q9SPG9	3702.Q9M246	0	0	0	0	0	0.230	0	0.967	0.973
MYB28	MYC2	3702.Q9SPG2	3702.Q39204	0	0	0	0	0	0.292	0	0.940	0.955
MYB29	MYC3	3702.Q9FLR1	3702.Q9FIP9	0	0	0	0	0	0.926	0	0.816	0.985
MYB34	MYC2	3702.O64399	3702.Q39204	0	0	0	0	0.139	0.292	0	0.852	0.901
MYB44	PYL9	3702.Q9FDW1	3702.Q84MC7	0	0	0	0	0	0.230	0	0.954	0.963
MYB44	PYL8	3702.Q9FDW1	3702.Q9FGM1	0	0	0	0	0.042	0.433	0	0.937	0.962
MYB5	TTG1	3702.Q38850	3702.Q9XGN1	0	0	0	0	0.053	0	0	0.907	0.908
MYB5	TT8	3702.Q38850	3702.Q9FT81	0	0	0	0	0	0.230	0	0.992	0.993
MYB75	TTG1	3702.Q9FE25	3702.Q9XGN1	0	0	0	0	0.053	0	0	0.995	0.995
MYB75	TT8	3702.Q9FE25	3702.Q9FT81	0	0	0	0	0.242	0.652	0	0.998	0.999
MYB77	PYL9	3702.Q9SN12	3702.Q84MC7	0	0	0	0	0	0.237	0	0.902	0.922
MYB77	PYL8	3702.Q9SN12	3702.Q9FGM1	0	0	0	0	0	0.700	0	0.974	0.991
MYB90	TT8	3702.Q9ZTC3	3702.Q9FT81	0	0	0	0	0.207	0.292	0	0.987	0.992
MYB90	TTG1	3702.Q9ZTC3	3702.Q9XGN1	0	0	0	0	0.053	0	0	0.987	0.987
MYBL2	TT8	3702.Q9C9A5	3702.Q9FT81	0	0	0	0	0	0.369	0	0.993	0.995
MYC2	TIFY5A	3702.Q39204	3702.Q8LBM2	0	0	0	0	0.140	0.810	0	0.915	0.984
MYC2	TIFY3A	3702.Q39204	3702.Q9M246	0	0	0	0	0	0.679	0.900	0.817	0.993
MYC2	TIFY11B	3702.Q39204	3702.Q9C9E3	0	0	0	0	0.200	0.677	0.900	0.893	0.996
MYC2	TIFY9	3702.Q39204	3702.Q93ZM9	0	0	0	0	0.162	0.779	0.900	0.938	0.998
MYC2	TIFY11A	3702.Q39204	3702.Q9LDU5	0	0	0	0	0.420	0.762	0.900	0.872	0.998
MYC2	TIFY10B	3702.Q39204	3702.Q9S7M2	0	0	0	0	0.378	0.679	0.900	0.939	0.998
MYC2	TIFY3B	3702.Q39204	3702.Q9C5K8	0	0	0	0	0.134	0.817	0.900	0.897	0.998
MYC2	TIFY6B	3702.Q39204	3702.Q9LVI4	0	0	0	0	0.060	0.816	0.900	0.995	0.999
MYC2	TIFY10A	3702.Q39204	3702.Q9LMA8	0	0	0	0	0.308	0.892	0.900	0.993	0.999
MYC2	TIFY7	3702.Q39204	3702.Q8W4J8	0	0	0	0	0.173	0.868	0.900	0.963	0.999
MYC3	TIFY5A	3702.Q9FIP9	3702.Q8LBM2	0	0	0	0	0	0.541	0	0.873	0.939
MYC3	TIFY7	3702.Q9FIP9	3702.Q8W4J8	0	0	0	0	0.062	0.975	0	0.950	0.998
MYC3	TIFY9	3702.Q9FIP9	3702.Q93ZM9	0	0	0	0	0	0.969	0	0.909	0.997
MYC3	TIFY3B	3702.Q9FIP9	3702.Q9C5K8	0	0	0	0	0.057	0.608	0	0.839	0.935
MYC3	TIFY11B	3702.Q9FIP9	3702.Q9C9E3	0	0	0	0	0.069	0.550	0	0.917	0.962
MYC3	TIFY6B	3702.Q9FIP9	3702.Q9LVI4	0	0	0	0	0.045	0.622	0	0.791	0.917
MYC3	TIFY3A	3702.Q9FIP9	3702.Q9M246	0	0	0	0	0	0.550	0	0.867	0.937
MYC3	TIFY11A	3702.Q9FIP9	3702.Q9LDU5	0	0	0	0	0.045	0.673	0	0.864	0.953
MYC3	TIFY10B	3702.Q9FIP9	3702.Q9S7M2	0	0	0	0	0.093	0.673	0	0.873	0.959
MYC3	TIFY10A	3702.Q9FIP9	3702.Q9LMA8	0	0	0	0	0.046	0.984	0	0.920	0.998
MYC4	TIFY11B	3702.O49687	3702.Q9C9E3	0	0	0	0	0	0.537	0	0.871	0.937
MYC4	TIFY6B	3702.O49687	3702.Q9LVI4	0	0	0	0	0	0.619	0	0.867	0.947
MYC4	TIFY5A	3702.O49687	3702.Q8LBM2	0	0	0	0	0	0.622	0	0.869	0.948
MYC4	TIFY9	3702.O49687	3702.Q93ZM9	0	0	0	0	0	0.619	0	0.872	0.949
MYC4	TIFY3B	3702.O49687	3702.Q9C5K8	0	0	0	0	0	0.764	0	0.885	0.971
MYC4	TIFY10A	3702.O49687	3702.Q9LMA8	0	0	0	0	0	0.674	0	0.927	0.975
MYC4	TIFY7	3702.O49687	3702.Q8W4J8	0	0	0	0	0	0.780	0	0.937	0.985
SCRM	SPCH	3702.Q9LSE2	3702.Q700C7	0	0	0	0	0.078	0.230	0	0.998	0.998
SCRM	TIFY10A	3702.Q9LSE2	3702.Q9LMA8	0	0	0	0	0	0.292	0	0.946	0.960
TIFY10A	TIFY5A	3702.Q9LMA8	3702.Q8LBM2	0	0	0	0	0.384	0.800	0	0.956	0.994
TIFY10B	TIFY5A	3702.Q9S7M2	3702.Q8LBM2	0	0	0	0	0.312	0.230	0	0.892	0.937
TIFY11A	TIFY5A	3702.Q9LDU5	3702.Q8LBM2	0	0	0	0	0.449	0.230	0	0.926	0.965
TIFY11A	TIFY7	3702.Q9LDU5	3702.Q8W4J8	0	0	0	0	0.274	0	0	0.898	0.922
TIFY11A	TIFY9	3702.Q9LDU5	3702.Q93ZM9	0	0	0	0	0.451	0	0	0.926	0.957
TIFY11A	TIFY6B	3702.Q9LDU5	3702.Q9LVI4	0	0	0	0	0.079	0.292	0	0.880	0.914
TIFY11B	TIFY5A	3702.Q9C9E3	3702.Q8LBM2	0	0	0	0	0.307	0.230	0	0.926	0.957
TIFY11B	TIFY7	3702.Q9C9E3	3702.Q8W4J8	0	0	0	0	0.442	0	0	0.898	0.940
TIFY11B	TIFY6B	3702.Q9C9E3	3702.Q9LVI4	0	0	0	0	0.138	0.292	0	0.895	0.930
TIFY3A	TIFY5A	3702.Q9M246	3702.Q8LBM2	0	0	0	0	0	0	0	0.900	0.900
TIFY3A	TIFY7	3702.Q9M246	3702.Q8W4J8	0	0	0	0	0	0.230	0	0.897	0.917
TIFY3A	TIFY6B	3702.Q9M246	3702.Q9LVI4	0	0	0	0	0	0.230	0	0.897	0.917
TIFY3B	TIFY5A	3702.Q9C5K8	3702.Q8LBM2	0	0	0	0	0.069	0.230	0	0.881	0.907
TIFY5A	TIFY7	3702.Q8LBM2	3702.Q8W4J8	0	0	0	0	0.211	0.230	0	0.857	0.905
